GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US24043011400,24043011400,"Census Tract 114, Washington County, Maryland",5909,491,5793,530,5587,515,58,47,12,19,52,79,0,17,19,30,65,68,0,17,65,68,116,129,80,87,0,17,0,17,0,17,0,17,0,17,36,46,36,46,0,17
1400000US24043011500,24043011500,"Census Tract 115, Washington County, Maryland",8149,585,8095,604,7828,598,102,55,1,4,48,39,0,17,57,84,59,49,0,17,59,49,54,77,53,77,0,17,0,17,1,4,0,17,0,17,0,17,0,17,0,17
1400000US24043011600,24043011600,"Census Tract 116, Washington County, Maryland",3046,205,2954,198,2883,204,11,14,5,9,1,4,19,23,0,12,35,31,0,12,35,31,92,67,92,67,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US24045000100,24045000100,"Census Tract 1, Wicomico County, Maryland",6211,515,5482,527,1883,363,3335,436,0,17,70,80,0,17,0,17,194,128,0,17,194,128,729,324,544,310,0,17,0,17,0,17,0,17,180,203,5,10,5,10,0,17
1400000US24045000200,24045000200,"Census Tract 2, Wicomico County, Maryland",1719,238,1612,217,1038,168,492,120,0,12,0,12,0,12,0,12,82,83,14,32,68,57,107,147,94,132,13,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US24045000300,24045000300,"Census Tract 3, Wicomico County, Maryland",1449,219,1346,204,67,44,1259,216,0,12,15,25,0,12,0,12,5,7,0,12,5,7,103,90,103,90,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US24045000400,24045000400,"Census Tract 4, Wicomico County, Maryland",4221,474,3774,534,2385,449,1186,361,0,12,132,114,0,12,50,95,21,27,0,12,21,27,447,262,345,250,0,12,0,12,10,16,0,12,52,72,40,49,31,47,9,14
1400000US24045000500,24045000500,"Census Tract 5, Wicomico County, Maryland",3250,361,3052,375,1184,308,1785,331,0,12,0,12,0,12,0,12,83,86,0,12,83,86,198,141,110,94,0,12,0,12,0,12,0,12,88,102,0,12,0,12,0,12
1400000US24045010101,24045010101,"Census Tract 101.01, Wicomico County, Maryland",6206,477,6036,494,3912,529,1598,389,2,37,388,280,0,17,23,38,113,82,0,17,113,82,170,153,133,146,22,37,0,17,0,17,0,17,15,24,0,17,0,17,0,17
1400000US24045010102,24045010102,"Census Tract 101.02, Wicomico County, Maryland",3717,385,3649,426,2716,357,883,298,0,12,37,35,0,12,6,10,7,10,7,10,0,12,68,123,68,123,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US24045010200,24045010200,"Census Tract 102, Wicomico County, Maryland",5154,622,4961,625,536,235,3929,570,0,17,183,204,0,17,35,58,278,287,0,17,278,287,193,167,128,154,65,83,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1400000US24045010300,24045010300,"Census Tract 103, Wicomico County, Maryland",8480,529,7971,639,5174,533,2057,479,0,17,707,211,0,17,0,17,33,50,0,17,33,50,509,330,478,329,0,17,0,17,0,17,0,17,31,47,0,17,0,17,0,17
1400000US24045010400,24045010400,"Census Tract 104, Wicomico County, Maryland",6775,588,6517,597,5365,593,891,179,10,14,191,188,0,17,2,4,58,37,0,17,58,37,258,133,188,125,0,17,0,17,9,14,0,17,30,31,31,26,18,20,13,16
1400000US24045010501,24045010501,"Census Tract 105.01, Wicomico County, Maryland",5644,427,5407,513,3141,444,1157,278,20,28,569,230,47,62,10,16,463,277,41,61,422,270,237,257,187,248,21,34,0,17,11,16,0,17,0,17,18,27,0,17,18,27
1400000US24045010502,24045010502,"Census Tract 105.02, Wicomico County, Maryland",9313,793,9136,789,6195,683,2142,505,132,139,491,203,0,17,0,17,176,121,0,17,176,121,177,111,144,112,8,17,0,17,0,17,0,17,8,17,17,23,17,23,0,17
1400000US24045010603,24045010603,"Census Tract 106.03, Wicomico County, Maryland",7385,534,6826,515,5242,523,1211,422,0,17,175,117,27,41,0,17,171,179,0,17,171,179,559,244,295,209,0,17,0,17,0,17,0,17,264,168,0,17,0,17,0,17
1400000US24045010604,24045010604,"Census Tract 106.04, Wicomico County, Maryland",4683,398,4598,389,4148,385,307,157,7,14,31,31,0,12,0,12,105,61,2,3,103,60,85,67,57,59,10,16,0,12,0,12,0,12,18,19,0,12,0,12,0,12
